time_s,condenser_level,sump_level,feed_tray_level,reboiler_tray_level,top_pressure,bottom_pressure,condenser_temperature,feed_tray_temperature,reboiler_temperature,distillate_valve_opening,bottoms_valve_opening,condenser_duty,reboiler_duty,feed_mass_flow,distillate_mass_flow,bottoms_mass_flow,distillate_benzene_fraction,bottoms_toluene_fraction,vapor_to_condenser,reflux,distillate_draw,bottoms_draw,bottoms_pressure
126.0,1.35998E-05,0.0208436,0.00137977,0.0208436,101325,103513,298.15,364.186,356.035,0,0,1567.43,0,8.51251,0,0,0.5,0.501634,0,0,0,0,103678
128.0,1.35998E-05,0.0246447,0.00137814,0.0246447,101325,103516,298.15,364.197,357.031,0,0,1534.53,0,8.51251,0,0,0.5,0.501672,0,0,0,0,103712
130.0,1.35998E-05,0.0285583,0.00137642,0.0285583,101325,103518,298.15,364.208,357.8,0,0,1501.63,0,8.51251,0,0,0.5,0.501703,0,0,0,0,103745
132.0,1.35998E-05,0.0325367,0.00137459,0.0325367,101325,103519,298.15,364.217,358.411,0,0,1468.73,0,8.51251,0,0,0.5,0.501729,0,0,0,0,103777
134.0,1.35998E-05,0.036552,0.00137267,0.036552,101325,103520,298.15,364.227,358.909,0,0,1435.83,0,8.51251,0,0,0.5,0.501752,0,0,0,0,103809
136.0,1.35998E-05,0.0405881,0.00137064,0.0405881,101325,103520,298.15,364.235,359.323,0,0,1402.93,0,8.51251,0,0,0.5,0.501771,0,0,0,0,103841
138.0,1.35998E-05,0.044636,0.00136851,0.044636,101325,103520,298.15,364.244,359.675,0,0,1370.03,0,8.51251,0,0,0.5,0.501789,0,0,0,0,103872
140.0,1.35998E-05,0.0486905,0.00136628,0.0486905,101325,103519,298.15,364.252,359.979,0,0,1337.13,0,8.51251,0,0,0.5,0.501805,0,0,0,0,103904
142.0,1.35998E-05,0.0527487,0.00136393,0.0527487,101325,103519,298.15,364.259,360.245,0,0,1304.23,0,8.51251,0,0,0.5,0.50182,0,0,0,0,103936
144.0,1.35998E-05,0.0568089,0.00136147,0.0568089,101325,103518,298.15,364.266,360.481,0,0,1271.33,0,8.51251,0,0,0.5,0.501833,0,0,0,0,103967
146.0,1.35998E-05,0.0608703,0.0013589,0.0608703,101325,103518,298.15,364.273,360.693,0,0,1238.43,0,8.51251,0,0,0.5,0.501847,0,0,0,0,103999
148.0,1.35998E-05,0.0649323,0.00135622,0.0649323,101325,103518,298.15,364.279,360.884,0,0,1205.53,0,8.51251,0,0,0.5,0.501859,0,0,0,0,104030
150.0,1.35998E-05,0.0689946,0.00135343,0.0689946,101325,103517,298.15,364.286,361.058,0,0,1172.63,0,8.51251,0,0,0.5,0.501871,0,0,0,0,104062
152.0,1.35998E-05,0.073057,0.00135056,0.073057,101325,103517,298.15,364.295,361.218,0,0,1139.73,0,8.51251,0,0,0.5,0.501883,0,0,0,0,104093
154.0,1.35998E-05,0.0771195,0.00134753,0.0771195,101325,103516,298.15,364.301,361.365,0,0,1106.83,0,8.51251,0,0,0.5,0.501894,0,0,0,0,104125
156.0,1.35998E-05,0.081182,0.00134438,0.081182,101325,103516,298.15,364.307,361.502,0,0,1073.93,0,8.51251,0,0,0.5,0.501905,0,0,0,0,104156
158.0,1.35998E-05,0.0852445,0.0013411,0.0852445,101325,103516,298.15,364.312,361.629,0,0,1057.02,0,8.51251,0,0,0.5,0.501915,0,0,0,0,104188
160.0,1.35998E-05,0.0893069,0.00133771,0.0893069,101325,103515,298.15,364.317,361.747,0,0,1057.02,0,8.51251,0,0,0.5,0.501926,0,0,0,0,104219
162.0,1.35998E-05,0.0933693,0.00133419,0.0933693,101325,103515,298.15,364.322,361.858,0,0,1057.02,0,8.51251,0,0,0.5,0.501936,0,0,0,0,104251
164.0,1.35998E-05,0.0974316,0.00133049,0.0974316,101325,103514,298.15,364.324,361.962,0,0,1057.02,0,8.51251,0,0,0.5,0.501945,0,0,0,0,104283
166.0,1.35998E-05,0.101494,0.00132678,0.101494,101325,103514,298.15,364.332,362.061,0,0,1057.02,0,8.51251,0,0,0.5,0.501955,0,0,0,0,104314
168.0,1.35998E-05,0.105556,0.00132289,0.105556,101325,103514,298.15,364.337,362.154,0,0,1057.02,0,8.51251,0,0,0.5,0.501965,0,0,0,0,104346
170.0,1.35998E-05,0.109618,0.00131888,0.109618,101325,103513,298.15,364.341,362.241,0,0,1057.02,0,8.51251,0,0,0.5,0.501974,0,0,0,0,104377
172.0,1.35998E-05,0.11368,0.00131474,0.11368,101325,103513,298.15,364.346,362.325,0,0,1057.02,0,8.51251,0,0,0.5,0.501983,0,0,0,0,104409
174.0,1.35998E-05,0.117742,0.00131047,0.117742,101325,103513,298.15,364.35,362.404,0,0,1057.02,0,8.51251,0,0,0.5,0.501992,0,0,0,0,104441
176.0,1.35998E-05,0.121803,0.00130608,0.121803,101325,103513,298.15,364.355,362.479,0,0,1057.02,0,8.51251,0,0,0.5,0.502001,0,0,0,0,104472
